Tipo de arriendo,URL del producto,Vendedor,Precio,Atributos,Localización,Solicitudes de visitas,Unidades disponibles
Departamento en arriendo,https://portalinmobiliario.com/MLC-2841291272-sara-del-campo-535-departamento-1d1b-santiago-_JM#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Blue Home,$327.300,"1 dormitorio, 1 baño, 33 m² útiles","Sara Del Campo 535, Santa Isabel, Santiago, RM (Metropolitana)",Solicitud online de visita,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-1569369629-ejercito-libertador-634-departamento-1d1b-santiago-_JM#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Blue Home,$339.957,"1 dormitorio, 1 baño, 30 m² útiles","Av. Ejército Libertador 634, Ejército - Toesca, Santiago, RM (Metropolitana)",Solicitud online de visita,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-1549936939-ejercito-libertador-634-departamento-studio-santiago-_JM#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Blue Home,$286.407,"1 dormitorio, 1 baño, 29 m² útiles","Av. Ejército Libertador 634, Ejército - Toesca, Santiago, RM (Metropolitana)",Solicitud online de visita,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-1587806757-edificio-mario-kreutzberger-vista-sur-piso-19-_JM#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$270.000,"1 dormitorio, 1 baño, 19 m² útiles","Mario Kreutzberger 1520, Centro Histórico De Santiago, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-2859074564-edificio-rosas-vista-oriente-piso-3-_JM#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$300.000,"2 dormitorios, 1 baño, 43 m² útiles","Rosas 2999, Barrio Yungay, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-1593202943-edificio-garcia-reyes-1-est-vista-oriente-piso-8-_JM#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$370.000,"1 dormitorio, 1 baño, 31 m² útiles","García Reyes 66, Barrio Yungay, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-2862706246-edificio-chacabuco-vista-sur-piso-10-_JM#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$265.000,"1 dormitorio, 1 baño, 20 m² útiles","Chacabuco 1120, Parque Los Reyes, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-2860235744-edificio-san-ignacio-de-loyola-vista-suroriente-piso-9-_JM#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$200.000,"1 dormitorio, 1 baño, 18 m² útiles","San Ignacio De Loyola 1498, Parque O'Higgins, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-1593857477-edificio-mapocho-vista-suroriente-piso-15-_JM#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$220.000,"1 dormitorio, 1 baño, 18 m² útiles","Mapocho 1522, Centro Histórico De Santiago, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-1589377723-edificio-san-isidro-vista-suroriente-piso-15-_JM#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$290.000,"1 dormitorio, 1 baño, 27 m² útiles","San Isidro 234, Santa Isabel, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-1589138271-edificio-catedral-piso-7-_JM#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$310.000,"1 dormitorio, 1 baño, 32 m² útiles","Catedral 1289, Centro Histórico De Santiago, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-2864335624-edificio-arturo-prat-1-est-1-bod-vista-poniente-piso-3-_JM#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$425.000,"2 dormitorios, 1 baño, 48 m² útiles","Arturo Prat 644, San Diego, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-2856573404-edificio-gral-gonzalez-balcarce-vista-oriente-piso-5-_JM#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$300.000,"1 dormitorio, 1 baño, 35 m² útiles","Gral. González Balcarce 2041, Parque O'Higgins, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-2859685092-edificio-san-diego-1-est-vista-poniente-piso-6-_JM#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$350.000,"1 dormitorio, 1 baño, 35 m² útiles","San Diego 255, Bulnes, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-2865602980-edificio-presidente-balmaceda-vista-surponiente-piso-12-_JM#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$370.000,"2 dormitorios, 2 baños, 35 m² útiles","Presidente Balmaceda 2170, Parque Los Reyes, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-2854567140-edificio-santa-elena-1-est-vista-oriente-piso-2-_JM#polycard_client=search-nordic&position=37&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$320.000,"1 dormitorio, 1 baño, 29 m² útiles","Santa Elena 998, Barrio Diez De Julio, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-2858615934-edificio-merced-vista-surponiente-piso-2-_JM#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$310.000,"1 dormitorio, 1 baño, 33 m² útiles","Merced 562, Centro Histórico De Santiago, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-1569792869-edificio-san-martin-vista-sur-piso-20-_JM#polycard_client=search-nordic&position=39&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$260.000,"1 dormitorio, 1 baño, 24 m² útiles","San Martín 870, Centro Histórico De Santiago, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-1575210501-edificio-sgto-aldea-1-est-1-bod-vista-oriente-piso-4-_JM#polycard_client=search-nordic&position=40&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$330.000,"1 dormitorio, 1 baño, 29 m² útiles","Sgto. Aldea 1156, Parque O'Higgins, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-2852998468-edificio-catedral-vista-oriente-piso-8-_JM#polycard_client=search-nordic&position=41&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$320.000,"1 dormitorio, 1 baño, 32 m² útiles","Catedral 1450, Centro Histórico De Santiago, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-2851779174-edificio-arturo-prat-vista-nororiente-piso-5-_JM#polycard_client=search-nordic&position=42&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$310.000,"1 dormitorio, 1 baño, 30 m² útiles","Arturo Prat 1760, Parque O'Higgins, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-1589273643-edificio-serrano-vista-norte-piso-26-_JM#polycard_client=search-nordic&position=43&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$260.000,"1 dormitorio, 1 baño, 29 m² útiles","Serrano 266, Bulnes, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-1579775193-edificio-arturo-prat-piso-13-_JM#polycard_client=search-nordic&position=44&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$280.000,"1 dormitorio, 1 baño, 29 m² útiles","Arturo Prat 1312, Parque O'Higgins, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-1589913267-edificio-chacabuco-vista-poniente-piso-13-_JM#polycard_client=search-nordic&position=45&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$250.000,"1 dormitorio, 1 baño, 23 m² útiles","Chacabuco 1120, Parque Los Reyes, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-2839969944-edificio-lord-cochrane-piso-11-_JM#polycard_client=search-nordic&position=46&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$250.000,"1 dormitorio, 1 baño, 27 m² útiles","Lord Cochrane 1431, Parque O'Higgins, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-2855472910-edificio-martinez-de-rozas-piso-4-_JM#polycard_client=search-nordic&position=47&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$275.000,"1 dormitorio, 1 baño, 32 m² útiles","Martínez De Rozas 2328, Parque Los Reyes, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-1583826973-edificio-rosas-vista-sur-piso-2-_JM#polycard_client=search-nordic&position=48&search_layout=grid&type=item&tracking_id=984aacb4-e291-4edf-bc31-636922f35131,Por Assetplan Chile,$300.000,"2 dormitorios, 1 baño, 40 m² útiles","Rosas 2999, Barrio Yungay, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-2858438002-hermoso-departamento-3d2b-estacionamiento-y-bodega-_JM#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=b3c430ab-d733-4c0f-b002-bd385449a03a,No disponible,$680.000,"3 dormitorios, 2 baños, 180 m² útiles","Club Hípico 600 - 900, Santiago, Barrio República, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-1588703567-santiago-metro-santa-lucia-santa-isabel-_JM#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=b3c430ab-d733-4c0f-b002-bd385449a03a,No disponible,$320.000,"1 dormitorio, 1 baño, 35 m² útiles","Carmen 319, Santiago, Santa Isabel, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-1590603307-lord-cochrane-depto-2-dormitorios-1-bano-y-estacionamiento-_JM#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=b3c430ab-d733-4c0f-b002-bd385449a03a,No disponible,$320.000,"2 dormitorios, 1 baño, 36 m² útiles","Lord Cochrane 252, Santiago, Bulnes, Santiago, RM (Metropolitana)",No disponible,No disponible
Departamento en arriendo,https://portalinmobiliario.com/MLC-1594626843-hermoso-y-acogedor-departamento-_JM#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=be40f888-15ba-4b3f-b293-f79f77ab9375,No disponible,$330.000,"1 dormitorio, 1 baño, 36 m² útiles","Esperanza 600 - 900, Santiago, Barrio Yungay, Santiago, RM (Metropolitana)",No disponible,No disponible
